iter	RMSE
0	0.4685919015
1	0.457361358
2	0.4471274599
3	0.4362223292
4	0.4259368997
5	0.4151131925
6	0.4052584413
7	0.3960675278
8	0.386362946
9	0.3765920441
10	0.3673202879
11	0.3579301807
12	0.3491153738
13	0.3404985261
14	0.3325689593
15	0.3243080065
16	0.3162814876
17	0.3083726794
18	0.3015339787
19	0.295200595
20	0.2883074628
21	0.2813185725
22	0.2744011348
23	0.2682513717
24	0.2622146521
25	0.2560534443
26	0.2503709907
27	0.2444354509
28	0.2385681163
29	0.2332192353
30	0.2280867297
31	0.2228975573
32	0.2181215851
33	0.2133500752
34	0.2090736774
35	0.2044293199
36	0.1998110952
37	0.1957482079
38	0.1919140996
39	0.1876708827
40	0.1839037716
41	0.1800014458
42	0.1763047177
43	0.1726151049
44	0.1689454941
45	0.1656967375
46	0.1621398333
47	0.1587378891
48	0.155593497
49	0.1524547615
50	0.149222504
51	0.1462491964
52	0.1433976151
53	0.1407229817
54	0.1377326891
55	0.1352791253
56	0.1328153843
57	0.13045622
58	0.1283794522
59	0.1261933648
60	0.1241012357
61	0.1216687324
62	0.1192435714
63	0.1175147989
64	0.1153806749
65	0.1136609254
66	0.1115073959
67	0.1095439423
68	0.1079436271
69	0.1063527483
70	0.1045730621
71	0.1026394853
72	0.1012006325
73	0.09946633691
74	0.09811948105
75	0.09677392871
76	0.09522301387
77	0.09392244972
78	0.09292088001
79	0.09170046744
80	0.09048694482
81	0.0892540762
82	0.08793169972
83	0.0868571344
84	0.08602585515
85	0.08467223518
86	0.08358404527
87	0.08262321363
88	0.08156561982
89	0.0805586134
90	0.07982027699
91	0.07898199354
92	0.0783192881
93	0.07739746984
94	0.07666065551
95	0.07592354277
96	0.07523807462
97	0.07461597811
98	0.07388335077
99	0.07310185236
100	0.07230327634
101	0.07159350126
102	0.0710875334
103	0.07053834902
104	0.0695794663
105	0.06900439299
106	0.06832456071
107	0.06779754815
108	0.06714814064
109	0.06657613751
110	0.066233086
111	0.06572207652
112	0.06550343158
113	0.06481688113
114	0.06453529201
115	0.06417668135
116	0.06353976862
117	0.06334023604
118	0.06294190749
119	0.06274160385
120	0.06234675158
121	0.06216746125
122	0.06157916668
123	0.06127482382
124	0.06093896641
125	0.06073855943
126	0.06044484979
127	0.06020860351
128	0.06002683871
129	0.059698621
130	0.05928413951
131	0.05911137138
132	0.05890984209
133	0.05859314665
134	0.05818177175
135	0.05794756149
136	0.05779504413
137	0.05752450547
138	0.05731048044
139	0.05710171521
140	0.05692677504
141	0.05669216303
142	0.05652092339
143	0.05624409165
144	0.05603016044
145	0.05576644731
146	0.05563594584
147	0.05558174463
148	0.05550714625
149	0.05544152911
150	0.05534291041
151	0.05495911221
152	0.05463145091
153	0.05457952194
154	0.05448541273
155	0.05441554301
156	0.05427861571
157	0.05418352577
158	0.05402055339
159	0.05394304634
160	0.05391088835
161	0.05379549451
162	0.05364383747
163	0.05357016926
164	0.05352980697
165	0.05347105937
166	0.05337354455
167	0.05326855693
168	0.0529608385
169	0.05262971265
170	0.05259456818
171	0.05227351552
172	0.05217180643
173	0.05215884924
174	0.05184397011
175	0.05183140809
176	0.05181252399
177	0.05160423554
178	0.05157308321
179	0.05140783858
180	0.05139225457
181	0.05121572781
182	0.05104245602
183	0.05098828798
184	0.05095068061
185	0.05062772859
186	0.05059415853
187	0.05053626784
188	0.05038299114
189	0.05036781813
190	0.05022041765
191	0.05013509556
192	0.05010815453
193	0.05009930848
194	0.05008913967
195	0.05006379701
196	0.05003110922
197	0.04998931643
198	0.04996155508
199	0.04992991969
200	0.04992098031
201	0.04990875826
202	0.0498074129
203	0.04978064309
204	0.04977586277
205	0.04974231299
206	0.04970778883
207	0.04957965045
208	0.0495770364
209	0.04934954925
210	0.04932641455
211	0.04913927127
212	0.04912323655
213	0.04912025187
214	0.04910138952
215	0.04909705071
216	0.04906614586
217	0.04905819024
218	0.04905495122
219	0.04904386832
220	0.04897404
221	0.0489622192
222	0.04895285858
223	0.04894622506
224	0.04893428468
225	0.04880318727
226	0.04878560634
227	0.04877872237
228	0.04877038839
229	0.04875381433
230	0.04874284788
231	0.04873838888
232	0.04873360024
233	0.04872255637
234	0.04871684114
235	0.0487043306
236	0.04869565117
237	0.04868451417
238	0.04866720518
239	0.04866228024
240	0.04864573361
241	0.04864427273
242	0.04864052141
243	0.04863037313
244	0.04862913866
245	0.04862630073
246	0.04862515989
247	0.04862385688
248	0.04862169575
249	0.04861747835
250	0.04826193337
251	0.04825767749
252	0.04817779933
253	0.04815554606
254	0.04813692999
255	0.04809756025
256	0.04809384732
257	0.04777988471
258	0.04777953244
259	0.04776894002
260	0.0477628466
261	0.04775973717
262	0.04774965464
263	0.04774464419
264	0.04773980525
265	0.04773524012
266	0.04772907861
267	0.04772821887
268	0.04770657172
269	0.04770621046
270	0.04770611091
271	0.04770504397
272	0.04770445454
273	0.04770373569
274	0.04766372693
275	0.04765273847
276	0.04764114611
277	0.04764096046
278	0.04763747278
279	0.04763500138
280	0.04763450798
281	0.04747454195
282	0.04746690635
283	0.0474559569
284	0.04737487643
285	0.04737393208
286	0.04737301302
287	0.0473727406
288	0.04737024297
289	0.04736959755
290	0.04735197623
291	0.04735141368
292	0.04734005288
293	0.04733976013
294	0.04733563077
295	0.04724371303
296	0.04723425632
297	0.04719978539
298	0.04714966478
299	0.04714913941
300	0.04710980357
301	0.04710950443
302	0.04710942409
303	0.04697705541
304	0.04672495696
305	0.04672193584
306	0.04672144099
307	0.0467182972
308	0.04671750948
309	0.0467166326
310	0.04669314886
311	0.04669313156
312	0.04669259698
313	0.04662251589
314	0.04654324526
315	0.04654293638
316	0.04654222943
317	0.04653572638
318	0.04653534623
319	0.04631035656
320	0.04629963079
321	0.04629887509
322	0.04629840056
323	0.04628644833
324	0.04614604376
325	0.04614119408
326	0.04592237176
327	0.0459166357
328	0.04574974004
329	0.04574960851
330	0.04574956357
331	0.04574139303
332	0.0457310054
333	0.04545866772
334	0.04540786477
335	0.04515123055
336	0.04514882836
337	0.04514830564
338	0.0450580989
339	0.04505771504
340	0.04505680182
341	0.04505236658
342	0.04504465104
343	0.0450381754
344	0.04503709524
345	0.04503691273
346	0.04503143261
347	0.0450313579
348	0.04503092344
349	0.04494926589
350	0.04494373683
351	0.04494363023
352	0.04493859065
353	0.04490115988
354	0.04463810854
355	0.04434528645
356	0.0443287819
357	0.04429977284
358	0.0441686938
359	0.04415768057
360	0.0440132383
361	0.04401092912
362	0.04391311769
363	0.0438988363
364	0.04389745412
365	0.04389521018
366	0.04380250659
367	0.04379171815
368	0.04378314287
369	0.04378141885
370	0.0437340643
371	0.04368577704
372	0.04366231342
373	0.04365526239
374	0.04364600525
375	0.04364397304
376	0.04364295718
377	0.04359217609
378	0.04359033981
379	0.04358714449
380	0.04358630282
381	0.04358201658
382	0.04357181388
383	0.0435662557
384	0.04356180406
385	0.04349005536
386	0.04348621706
387	0.04347719505
388	0.04333940533
389	0.04333810636
390	0.04327079883
391	0.04326866244
392	0.04326854425
393	0.04318913065
394	0.04316296227
395	0.0431627617
396	0.04315781104
397	0.04313952729
398	0.0431378447
399	0.04313625377
400	0.04312022237
401	0.04311775125
402	0.0431162399
403	0.04311319868
404	0.0430663036
405	0.04305805025
406	0.04304333186
407	0.0430289026
408	0.04301367795
