,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
PPSpotAvgPrice,0.0,1.973719775113412e-65,1.0,1.0,2.3661818115970594e-10,1.0,1.7617165794002173e-119
OilAvgPrice,1.973719775113412e-65,0.0,1.0,1.0,0.0008964289336451537,1.0,3.929190315144352e-58
PPImport,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPExport,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExchangeRate,2.3661818115970594e-10,0.0008964289336451537,1.0,1.0,0.0,1.0,1.0572556990135875e-17
PPFuture,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OilFuture,1.7617165794002173e-119,3.929190315144352e-58,1.0,1.0,1.0572556990135875e-17,1.0,0.0
