,Date,PPSpotAvgPrice,OilAvgPrice,PPImport,PPExport,ExchangeRate,PPFuture,OilFuture
156,2011-12-04,,,,,6.331,,
157,2011-12-11,,,,,6.3352,,
158,2011-12-18,,,,,6.3352,,
159,2011-12-25,,,,,6.3209,,
160,2012-01-01,,,,,6.3009,,
161,2012-01-08,,,,,6.3166,,
162,2012-01-15,,,,,6.3201,,
163,2012-01-22,,,,,6.3138,,
164,2012-02-05,,,,,6.3102,,
165,2012-02-12,,,,,6.2937,,
166,2012-02-19,,,,,6.2951,,
167,2012-02-26,,,,,6.2965,,
168,2012-03-04,,,,,6.297999999999999,,
169,2012-03-11,,,,,6.3073,,
170,2012-03-18,,,,,6.32,,
171,2012-03-25,,,,,6.2891,,
172,2012-04-01,,,,,6.2943,,
173,2012-04-08,,,,,6.3035,,
174,2012-04-15,,,,,6.2879,,
175,2012-04-22,,,,,6.3042,,
176,2012-04-29,,,,,6.2787,,
177,2012-05-06,,,,,6.2721,,
178,2012-05-13,,,,,6.2952,,
179,2012-05-20,,,,,6.3209,,
180,2012-05-27,,,,,6.3260000000000005,,
181,2012-06-03,,,,,6.3308,,
182,2012-06-10,,,,,6.3188,,
183,2012-06-17,,,,,6.3089,,
184,2012-06-24,,,,,6.303999999999999,,
185,2012-07-01,,,,,6.3249,,
186,2012-07-08,,,,,6.3249,,
187,2012-07-15,,,,,6.3247,,
188,2012-07-22,,,,,6.3112,,
189,2012-07-29,,,,,6.3325,,
190,2012-08-05,,,,,6.3421,,
191,2012-08-12,,,,,6.3447,,
192,2012-08-19,,,,,6.3449,,
193,2012-08-26,,,,,6.3305,,
194,2012-09-02,,,,,6.3449,,
195,2012-09-09,,,,,6.3412,,
196,2012-09-16,,,,,6.3317,,
197,2012-09-23,,,,,6.3426,,
198,2012-09-30,,,,,6.341,,
199,2012-10-14,,,,,6.3264,,
200,2012-10-21,,,,,6.3052,,
201,2012-10-28,,,,,6.301,,
202,2012-11-04,,,,,6.3045,,
203,2012-11-11,,,,,6.3012,,
204,2012-11-18,,,,,6.2945,,
205,2012-11-25,,,,,6.2906,,
206,2012-12-02,,,,,6.2892,,
207,2012-12-09,,,,,6.292999999999999,,
208,2012-12-16,,,,,6.2923,,
209,2012-12-23,,,,,6.2881,,
210,2012-12-30,,,,,6.2896,,
211,2013-01-06,,,,,6.2897,,
212,2013-01-13,,,,,6.2712,,
213,2013-01-20,,,,,6.2752,,
214,2013-01-27,,,,,6.2805,,
215,2013-02-03,,,,,6.2819,,
216,2013-02-10,,,,,6.2793,,
217,2013-02-24,,,,,6.2871,,
218,2013-03-03,,,,,6.2798,,
219,2013-03-10,,,,,6.2719,,
220,2013-03-17,,,,,6.2752,,
221,2013-03-24,,,,,6.2711,,
222,2013-03-31,,,,,6.2689,,
223,2013-04-07,,,,,6.2609,,
224,2013-04-14,,,,,6.2506,,
225,2013-04-21,,,,,6.2395,,
226,2013-04-28,,,,,6.2208,,
227,2013-05-05,,,,,6.2152,,
228,2013-05-12,,,,,6.2016,,
229,2013-05-19,,,,,6.1997,,
230,2013-05-26,,,,,6.1867,,
231,2013-06-02,,,,,6.1796,,
232,2013-06-09,,,,,6.162000000000001,,
233,2013-06-16,,,,,6.1607,,
234,2013-06-23,,,,,6.1766,,
235,2013-06-30,,,,,6.1787,,
236,2013-07-07,,,,,6.178999999999999,,
237,2013-07-14,,,,,6.1631,,
238,2013-07-21,,,,,6.1751,,
239,2013-07-28,,,,,6.172000000000001,,
240,2013-08-04,,,,,6.1817,,
241,2013-08-11,,,,,6.1668,,
242,2013-08-18,,,,,6.1666,,
243,2013-08-25,,,,,6.171,,
244,2013-09-01,,,,,6.1709,,
245,2013-09-08,,,,,6.1728,,
246,2013-09-15,,,,,6.1578,,
247,2013-09-22,,,,,6.1557,,
248,2013-09-29,,,,,6.1495,,
249,2013-10-06,,,,,6.148,,
250,2013-10-13,,,,,6.1458,,
251,2013-10-20,,,,,6.1372,,
252,2013-10-27,,,,,6.1333,,
253,2013-11-03,,,,,6.1452,,
254,2013-11-10,,,,,6.1355,,
255,2013-11-17,,,,,6.1351,,
256,2013-11-24,,,,,6.138,,
257,2013-12-01,,,,,6.1325,,
258,2013-12-08,,,,,6.1232,,
259,2013-12-15,,,,,6.1148,,
260,2013-12-22,,,,,6.1196,,
261,2013-12-29,,,,,6.105,,
262,2014-01-05,,,,,6.1039,,
263,2014-01-12,,,,,6.1008,,4463
264,2014-01-19,,,,,6.1041,,4609
